"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"1150","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1072","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","10","0.225988701","0.096045198","0.030372158",NA,"10","0.149717514","0.056497175","0.017865975",NA,"","",NA,"","S0860",NA,NA,NA,"positive","no","Figure 2b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1151","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1073","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","10","0.644067797","0.127118644","0.040198445",NA,"10","0.553672316","0.155367232","0.049131433",NA,"","",NA,"","S0861",NA,NA,NA,"positive","no","Figure 2b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1152","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1074","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","10","0.694915254","0.141242938","0.044664939",NA,"10","0.389830508","0.206214689","0.065210811",NA,"","",NA,"","S0862",NA,NA,NA,"positive","no","Figure 2b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1153","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1075","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","10","0.906779661","0.214689266","0.067890707",NA,"10","0.54519774","0.214689266","0.067890707",NA,"","",NA,"","S0863",NA,NA,NA,"positive","no","Figure 2b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1154","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1076","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.136363636","0.0625","0.02795085",NA,"8","0.204545455","0.099431818","0.035154456",NA,"","",NA,"","S0864",NA,NA,NA,"positive","no","Figure 2h,i","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1155","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1077","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.241477273","0.042613636","0.019057398",NA,"8","0.332386364","0.051136364","0.018079435",NA,"","",NA,"","S0865",NA,NA,NA,"positive","no","Figure 2h,i","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1156","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1078","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.559659091","0.107954545","0.04827874",NA,"8","0.380681818","0.0625","0.022097087",NA,"","",NA,"","S0866",NA,NA,NA,"positive","no","Figure 2h,i","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1157","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1079","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","time spent within 2m of nest box","predation_response","sec","25","131.28","109.03804","",NA,"35","146.5429","96.84595","",NA,"","",NA,"","S0867",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1158","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1081","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","time spent more than 10m from nest box","predation_response","sec","25","31.76","64.78958","",NA,"35","13.94286","26.00333","",NA,"","",NA,"","S0869",NA,NA,NA,"negative","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1159","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1083","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","hovering in front of nest box","predation_response","count","25","0.8","1.581139","",NA,"35","2.514286","3.24827","",NA,"","",NA,"","S0871",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1160","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1085","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","swooping predator","predation_response","count","25","0.08","0.4","",NA,"35","0","0","",NA,"","",NA,"","S0873",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","exclude_lnrr","data cannot be used to calculate log ratio",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1161","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1087","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","attacks of predator","predation_response","count","25","0","0","",NA,"35","0.1142857","0.5297851","",NA,"","",NA,"","S0875",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","exclude_lnrr","data cannot be used to calculate log ratio",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1162","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1089","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","alarm calls","predation_response","count","25","151.4","107.5988","",NA,"35","135.2","108.1896","",NA,"","",NA,"","S0877",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1163","CD466","SearchQuery","yes","yes","yes","EG145","EX172","ES1091","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","female","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","activity","predation_response","count","25","17.08","10.07853","",NA,"35","24.42857","10.75198","",NA,"","",NA,"","S0879",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1164","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1080","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","time spent within 2m of nest box","predation_response","sec","22","129.6364","93.66584","",NA,"34","161.0294","91.83268","",NA,"","",NA,"","S0868",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1165","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1082","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","time spent more than 10m from nest box","predation_response","sec","22","33.13636","55.19946","",NA,"34","7.5","17.17159","",NA,"","",NA,"","S0870",NA,NA,NA,"negative","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1166","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1084","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","hovering in front of nest box","predation_response","count","22","1","1.825742","",NA,"34","2.264706","2.831734","",NA,"","",NA,"","S0872",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1167","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1086","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","swooping predator","predation_response","count","22","0.5454545","2.344746","",NA,"34","0.2352941","1.046171","",NA,"","",NA,"","S0874",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1168","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1088","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","attacks of predator","predation_response","count","22","0.1818182","0.6644986","",NA,"34","1.2647059","4.8698754","",NA,"","",NA,"","S0876",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1169","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1090","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","alarm calls","predation_response","count","22","147.5","105.098","",NA,"34","110.1765","109.9646","",NA,"","",NA,"","S0878",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1170","CD466","SearchQuery","yes","yes","yes","EG146","EX173","ES1092","Rácapet","2016","Biology Letters","collared flycatcher","Ficedula albicollis","bird","wild","wild","male","adult","quantity","supplement",12,1,"natural","yes (nestling survival, brood size)","no","adult","predator response","activity","predation_response","count","22","19.31818","11.31533","",NA,"34","24.64706","13.35729","",NA,"","",NA,"","S0880",NA,NA,NA,"positive","no","http://dx.doi.org/10.5061/dryad.n3k7f.","raw","","",3780.791667,"systematic",0.000264494869878267,8.23768870239932,0.0031739384385392
"1183","CD470","SearchQuery","partial","partial; smd, lnrr only","yes","EG150","EX180","ES1105","Reinhardt","1999","Animal Behaviour","coho salmon","Oncorhynchus kisutch","ray-finned fish","commercial","lab","unknown","juvenile","quantity","supplement",13,0,"continuous","unknown","control_LC2","juvenile","foraging under predation risk","number feed (< 1 min)","predation_feeding","proportion (treatment level)","52","0.403846154","0.068043317","",NA,"58","0.293103448","0.059768781","",NA,"","",NA,"","S0893",52,0.403846154,0.068043317,"positive","no","Table 1","table","exclude_lncvr","group level proportional data",1825,"systematic",0,7.50933526601659,0.00712328767123288
"1184","CD470","SearchQuery","partial","partial; smd, lnrr only","yes","EG150","EX180","ES1106","Reinhardt","1999","Animal Behaviour","coho salmon","Oncorhynchus kisutch","ray-finned fish","commercial","lab","unknown","juvenile","quantity","supplement",13,0,"continuous","unknown","control_LC2","juvenile","foraging under predation risk","number feed (< 1 min)","predation_feeding","proportion (treatment level)","52","0.403846154","0.068043317","",NA,"64","0.171875","0.047158971","",NA,"","",NA,"","S0893",52,0.403846154,0.068043317,"positive","no","Table 1","table","exclude_lncvr","group level proportional data",1825,"systematic",0,7.50933526601659,0.00712328767123288
"1185","CD470","SearchQuery","partial","partial; smd, lnrr only","yes","EG150","EX180","ES1107","Reinhardt","1999","Animal Behaviour","coho salmon","Oncorhynchus kisutch","ray-finned fish","commercial","lab","unknown","juvenile","quantity","supplement",13,0,"continuous","unknown","control_LC2","juvenile","foraging under predation risk","number feeding (1 < 24  min)","predation_feeding","proportion (treatment level)","52","0.326923077","0.065050924","",NA,"58","0.327586207","0.061626445","",NA,"","",NA,"","S0894",52,0.326923077,0.065050924,"positive","no","Table 1","table","exclude_lncvr","group level proportional data",1825,"systematic",0,7.50933526601659,0.00712328767123288
"1186","CD470","SearchQuery","partial","partial; smd, lnrr only","yes","EG150","EX180","ES1108","Reinhardt","1999","Animal Behaviour","coho salmon","Oncorhynchus kisutch","ray-finned fish","commercial","lab","unknown","juvenile","quantity","supplement",13,0,"continuous","unknown","control_LC2","juvenile","foraging under predation risk","number feeding (1 < 24  min)","predation_feeding","proportion (treatment level)","52","0.326923077","0.065050924","",NA,"64","0.234375","0.052950944","",NA,"","",NA,"","S0894",52,0.326923077,0.065050924,"positive","no","Table 1","table","exclude_lncvr","group level proportional data",1825,"systematic",0,7.50933526601659,0.00712328767123288
